file|algorithm|peak_comp|stack_comp|compression_time|peak_decomp|stack_decomp|decompression_time|compressed_size|plain_size|peak_comp_mib|peak_decomp_mib|compressed_size_mib|compression_ratio|plain_size_mib
enwiki9|GCX-y2|10000047200|6291456|46.143271|4875051790|6291456|2.668153|1875042784|1000000000|9536.788177|4649.211683|1788.180145|187.504278|953.674316
enwiki9|GCX-y4|10000047240|6291456|79.632531|4913701952|6291456|5.004836|913697440|1000000000|9536.788216|4686.071350|871.369781|91.369744|953.674316
enwiki9|GCX-y8|8826760514|6291456|79.190923|2463513495|6291456|6.041922|663504402|1000000000|8417.854799|2349.389548|632.767107|66.350440|953.674316
enwiki9|GCX-y16|8704564648|6291456|76.969767|2092439220|6291456|5.783229|647985612|1000000000|8301.319740|1995.505543|617.967236|64.798561|953.674316
enwiki9|GCX-y32|8741009908|6291456|76.082543|2102814416|6291456|6.174590|702805228|1000000000|8336.076649|2005.400101|670.247295|70.280523|953.674316
enwiki9|GCX-y64|8827444996|6291456|75.238533|2127340388|6291456|5.637367|793997900|1000000000|8418.507572|2028.789890|757.215405|79.399790|953.674316
enwiki9|GCX-y128|8866720422|6291456|74.899224|2142708651|6291456|5.472781|835007022|1000000000|8455.963537|2043.446208|796.324751|83.500702|953.674316
enwiki9|GC2|14000043084|6291456|69.627552|4790325700|6291456|15.536794|790324668|1000000000|13351.481518|4568.410587|753.712337|79.032467|953.674316
enwiki9|GC4|13007404988|6291456|48.901869|2750226328|6291456|7.160903|750225576|1000000000|12404.828060|2622.820213|715.470863|75.022558|953.674316
enwiki9|GC8|12683319984|6291456|40.777882|2124182952|6291456|6.068832|624182328|1000000000|12095.756516|2025.778725|595.266655|62.418233|953.674316
enwiki9|GC16|12946891440|6291456|38.050515|2169231292|6291456|4.776667|919230492|1000000000|12347.117844|2068.740170|876.646511|91.923049|953.674316
enwiki9|GC32|12997771504|6291456|35.892297|2101953512|6291456|3.995654|976952504|1000000000|12395.640854|2004.579079|931.694511|97.695250|953.674316
enwiki9|GC64|13012781744|6291456|34.268249|2062195008|6291456|2.673161|999692944|1000000000|12409.955734|1966.662415|953.381485|99.969294|953.674316
enwiki9|GC128|13020580272|6291456|34.337032|2044161016|6291456|1.754517|1012896328|1000000000|12417.392990|1949.463860|965.973213|101.289633|953.674316
enwiki9|GCIS-ef|6520443558|0|76.698200|6800264976|0|14.762300|530833388|1000000000|6218.379553|6485.238052|506.242168|53.083339|953.674316
enwiki9|PlainSlp_32Fblc|12008904852|3512|393.472325|79527928|26528|10.689070|1296831445|1000000000|11452.584126|75.843742|1236.754842|129.683144|953.674316
enwiki9|7zip|0|0|533.424300|0|0|8.977200|224618387|1000000000|0.000000|0.000000|214.212787|22.461839|953.674316
enwiki9|bzip2|7532453|6291456|49.395500|3678573|6291456|20.095800|253977891|1000000000|7.183507|3.508161|242.212192|25.397789|953.674316
enwiki9|CBT|38838386688|8388608|0.000000|0|0|0.000000|829800000|1000000000|37039.171875|0.000000|791.358948|82.980000|953.674316
