file|algorithm|peak|stack|time|substring_size
enwik9|GCX-y2|1875712857|6291456|0.002202009000000|1
enwik9|GCX-y4|914367561|6291456|0.002733460000000|1
enwik9|GCX-y8|664174523|6291456|0.003807730000000|1
enwik9|GCX-y16|648655733|6291456|0.004436848000000|1
enwik9|GCX-y32|703475349|6291456|0.004356416000000|1
enwik9|GCX-y64|794668021|6291456|0.004490479000000|1
enwik9|GCX-y128|835677143|6291456|0.004401589000000|1
enwik9|GC2|790995413|6291456|0.013840118000000|1
enwik9|GC4|750895985|6291456|0.007699272000000|1
enwik9|GC8|624852593|6291456|0.006323388000000|1
enwik9|GC16|919900709|6291456|0.005226037000000|1
enwik9|GC32|977622673|6291456|0.004681366000000|1
enwik9|GC64|1000363113|6291456|0.003907032000000|1
enwik9|GC128|1013566497|6291456|0.003661062000000|1
enwik9|GCIS-ef|1
enwik9|PlainSlp_32Fblc|938234728|0|0.0189|1
enwik9|GCX-y2|1875712857|6291456|0.002454397000000|10
enwik9|GCX-y4|914367561|6291456|0.002702716000000|10
enwik9|GCX-y8|664174523|6291456|0.004075089000000|10
enwik9|GCX-y16|648655733|6291456|0.004484124000000|10
enwik9|GCX-y32|703475349|6291456|0.004585266000000|10
enwik9|GCX-y64|794668021|6291456|0.004650218000000|10
enwik9|GCX-y128|835677143|6291456|0.004557710000000|10
enwik9|GC2|790995413|6291456|0.014738530000000|10
enwik9|GC4|750895985|6291456|0.008010724000000|10
enwik9|GC8|624852593|6291456|0.006463580000000|10
enwik9|GC16|919900709|6291456|0.005213855000000|10
enwik9|GC32|977622673|6291456|0.004493464000000|10
enwik9|GC64|1000363113|6291456|0.004002329000000|10
enwik9|GC128|1013566497|6291456|0.003720743000000|10
enwik9|GCIS-ef|537025676|6291456|0.0922|10
enwik9|PlainSlp_32Fblc|938234731|0|0.0227|10
enwik9|GCX-y2|1875712857|6291456|0.005234591000000|100
enwik9|GCX-y4|914367561|6291456|0.006486928000000|100
enwik9|GCX-y8|664174523|6291456|0.009095230000000|100
enwik9|GCX-y16|648655733|6291456|0.011080721000000|100
enwik9|GCX-y32|703475349|6291456|0.011135698000000|100
enwik9|GCX-y64|794668021|6291456|0.008829298000000|100
enwik9|GCX-y128|835677143|6291456|0.009569759000000|100
enwik9|GC2|790995413|6291456|0.029790721000000|100
enwik9|GC4|750895985|6291456|0.016757737000000|100
enwik9|GC8|624852593|6291456|0.013703659000000|100
enwik9|GC16|919900709|6291456|0.010021592000000|100
enwik9|GC32|977622673|6291456|0.009771459000000|100
enwik9|GC64|1000363113|6291456|0.007735114000000|100
enwik9|GC128|1013566497|6291456|0.005331751000000|100
enwik9|GCIS-ef|537025676|6291456|0.2981|100
enwik9|PlainSlp_32Fblc|938234734|0|0.0353|100
enwik9|GCX-y2|1875712857|6291456|0.025247892000000|1000
enwik9|GCX-y4|914367561|6291456|0.039801805000000|1000
enwik9|GCX-y8|664174523|6291456|0.073403809000000|1000
enwik9|GCX-y16|648655733|6291456|0.074760288000000|1000
enwik9|GCX-y32|703475349|6291456|0.071500614000000|1000
enwik9|GCX-y64|794668021|6291456|0.063615609000000|1000
enwik9|GCX-y128|835677143|6291456|0.060997023000000|1000
enwik9|GC2|790995413|6291456|0.184582670000000|1000
enwik9|GC4|750895985|6291456|0.079232230000000|1000
enwik9|GC8|624852593|6291456|0.081844507000000|1000
enwik9|GC16|919900709|6291456|0.054614391000000|1000
enwik9|GC32|977622673|6291456|0.047795272000000|1000
enwik9|GC64|1000363113|6291456|0.032432646000000|1000
enwik9|GC128|1013566497|6291456|0.018501227000000|1000
enwik9|GCIS-ef|537025676|6291456|2.1997|1000
enwik9|PlainSlp_32Fblc|938234737|0|0.1544|1000
enwik9|GCX-y2|1875712857|6291456|0.222770065000000|10000
enwik9|GCX-y4|914367561|6291456|0.351565625000000|10000
enwik9|GCX-y8|664174523|6291456|0.676096834000000|10000
enwik9|GCX-y16|648655733|6291456|0.697250433000000|10000
enwik9|GCX-y32|703475349|6291456|0.663922269000000|10000
enwik9|GCX-y64|794668021|6291456|0.576942717000000|10000
enwik9|GCX-y128|835677143|6291456|0.559406051000000|10000
enwik9|GC2|790995413|6291456|1.638983002000000|10000
enwik9|GC4|750895985|6291456|0.704112053000000|10000
enwik9|GC8|624852593|6291456|0.693227475000000|10000
enwik9|GC16|919900709|6291456|0.497170572000000|10000
enwik9|GC32|977622673|6291456|0.418522798000000|10000
enwik9|GC64|1000363113|6291456|0.265162466000000|10000
enwik9|GC128|1013566497|6291456|0.175507300000000|10000
enwik9|GCIS-ef|537025676|6291456|20.2529|10000
enwik9|PlainSlp_32Fblc|938234740|0|1.2559|10000
